Section Number	Section Title	Section Text
1.03	"MEASUREMENT AND PAYMENT
A"	". Separate measurement and payment shall not be made for work required under this
Contract Specifications Section. All costs connected with the work specified herein
shall be included with the related item of work in the Bid Schedule of the Bid Form,
or incidental to the Work."
1.04	"REFERENCES
A"	". All installation activities shall be in accordance with the latest edition of the following
codes, standards, and specifications except as provided otherwise herein. Where
requirements conflict with requirements specified herein or elsewhere in the
Contract, the more restrictive requirements shall apply.
B. American National Standard Institute (ANSI)
1. ANSI/IEEE C2 National Electrical Safety Code
C. California Building Electrical Code (CBC)
D. California Code of Regulations (CCR)
Title 8 Industrial Relations, Division 1, Chapter 4, Subchapter 4,
Construction Safety Orders.
Title 8 Industrial Relations, Division 1, Chapter 4, Subchapter 5,
Electrical Safety Orders.
Title 19 Public Safety, State Fire Marshal.
Title 24 Part 3, California Electrical Code
E. CalOSHA – Electrical Safety Orders
F. Electronics Industry Association (EIA) 568-B Commercial Building
Telecommunications Cabling Standard
G. International Electrical Testing Association (NETA)
NETA ATS Standard for Acceptance Testing Specifications for
Electrical Power Equipment and Systems
H. National Fire Protection Agency (NFPA):
NFPA 70 National Electrical Code
NFPA 70B Recommended Practice for Electric Equipment
Maintenance
NFPA 70E Standard for Electrical Safety in the Workplace
RELEASE – R"
1.05	"SUBMITTALS
A"	". Refer to the following Sections for additional requirements:
1. Section 01 33 00, Submittal Procedures
2. Section 01 33 23, Shop Drawings, Product Data and Samples
B. Submit following documents for equipment and materials specified herein and
provided under the Contract for the traction power facilities:
1. Type Test Certificates (Cables).
2. Material safety data sheets.
3. Product data sheets.
RELEASE – R"
1.06	"QUALITY ASSURANCE AND SUPPLIER QUALIFICATIONS
A"	". Refer to Section 01 43 00, Quality Assurance, and Section 01 45 00, Quality
Control, for quality assurance, quality control and qualification requirements.
B. Electrical components, devices, and accessories shall be listed and labeled in
conformance with NFPA 70, Article 100. Electrical components, devices, and
accessories shall comply with NECA 1, Standard for Good Workmanship in
Electrical Construction.
C. Contract drawings shall indicate preliminary dimensions for equipment, including
clearances between equipment and for adjacent surfaces and other items.
Deviations to indicated or noted dimensions shall be submitted to the District for
review and approval.
RELEASE – R"
1.07	DELIVERY	", STORAGE AND HANDLING
A. Refer to Section 01 60 00, Product Requirements, for general delivery, storage, and
handling requirements.
B. Securely wrap, package, and label each unit for safe handling during shipment.
Suitable crating, blocking, and supports shall be provided so equipment and
materials will withstand expected domestic shipping and handling shocks and
vibration. Clearly label temporary internal bracing of equipment as “Temporary
Bracing: To Be Removed Before Operations”.
C. Provide to the District as an option to the base scope of work a secure storage
facility (of at least 100,000 square feet) located within 10 miles of the jobsite for a
period not least than 1 year to house equipment, pre-engineered houses and cables.
D. All equipment, cabling, conduit and cable tray, ductbanks, materials, and
appurtenances shall be protected and maintained in new condition throughout the
Contract period until final acceptance by the District.
E. All equipment, cabling, conduit and cable tray, materials, and appurtenances
intended for use on the Contract shall be shipped and stored in accordance with the
manufacturer’s recommendations such that damage, distortion or reduction in life is
prevented.
F. All stored equipment, conduit and cable tray, materials, and appurtenances subject
to corrosion shall be protected by weatherproof covers or coatings, and off the floor
or ground.
G. Insulated cable ends shall be sealed and stored in a dry location to prevent the entry
of moisture into the cable conductors.
H. All equipment shall be stored with all ports, covers, and all other enclosure openings
closed to prevent ingestion of dirt or moisture, and kept dry and free from
condensation.
I. All loose shipped traction power facility components shall include parts and
assembly instructions within each package for the components therein.
J. Special care shall be taken with the storage of electrical equipment prior to
installation.
K. All materials with a defined life expectancy shall be clearly marked with expiration
date and shall not be used beyond the expiration date.
L. All electrical equipment, cabling, conduit and cable tray, materials, and
appurtenances with special handling or storage requirements shall be handled or
stored according to the manufacturer’s requirements.
M. All equipment, cabling, conduit and cable tray, materials, and appurtenances shall
be clearly marked and stored with appropriate nomenclature to prevent
misapplication.
RELEASE – R"
1.08	"GENERAL REQUIREMENTS FOR THE TRACTION POWER SYSTEM
A"	". Refer to Section 34 21 01, General Requirements for the Traction Power System, for
requirements.
PART 2 – PRODUCTS"
2.01	"UNDERGROUND DUCTBANKS
A"	". Refer to Section 20 50 16, Underground Ductwork and Structures for Facility
Services, for the product requirements relating to reinforcement steel, conduits,
spacers, ductbank tie-downs, sand, cast-in-place concrete, yellow warning tape,
conduit mandrels and brushes, and pull lines."
2.02	PRECAST STRUCTURES	"& COVERS
A. A. Refer to Section 20 50 16, Underground Ductwork and Structures for Facility
Services, and Section 33 05 16, Utility Structures, for the product requirements
relating to pre-cast concrete electrical boxes, pullboxes, ground rod boxes,
manholes, handholes, and vaults; covers and frames; gratings; ladders; sumps,
inserts; damp proofing, and hardware."
2.03	"CAST IN PLACE STRUCTURES
A"	". Refer to Section 03 05 15, Portland Cement Concrete, Section 03 11 00, Concrete
Forming, Section 03 20 00, Concrete Reinforcing, and Section 03 30 00, Cast-In-
Place Concrete, for the product requirements relating to Portland cement concrete,
concrete forming, and reinforcement steel."
2.04	CABLE TRENCH COVERS	"& GRATINGS
A. Refer to Section 05 50 00, Metal Fabrications, and Section 33 05 16, Utility
Structures, for the product requirements relating to cable trench covers, gratings,
and associated vehicle loading."
